from,to,cost
25,21,798.9471011134663
25,58,583.658074525442
25,27,2216.965980684537
25,19,1749.361047449283
25,16,3052.8544460665225
25,22,2066.839130843431
25,25,0.0
25,51,1221.497040712785
25,24,3098.0840481236064
25,23,2544.244583293514
25,26,3027.806885374029
25,30,1216.8995370034122
25,17,2585.7394474539196
25,32,1389.3534001754963
25,45,3194.0179415630555
25,37,695.7888320374453
25,20,1376.8687384380735
25,33,2501.423099114368
25,61,1398.6401705716448
25,13,3843.6166423143713
25,56,3040.2596311095454
25,35,2680.392639285007
25,14,2952.3257976616587
25,57,3435.05102245886
25,15,2843.4162683887166
25,29,1072.1337550606925
25,46,3277.0153691054434
25,47,2596.8255778715275
25,66,3692.2343339761874
26,65,1423.4927746702556
26,57,887.3274416808125
26,45,1077.578239841864
26,24,219.00519556882188
26,18,2564.6567009300115
26,66,1154.0305712955515
26,27,884.7862483981269
26,56,356.65293402391677
26,63,1379.660631148101
26,39,1694.509189367381
26,13,1454.3230005548799
26,15,1158.9582251342247
26,16,768.6882705783805
26,43,1114.9565576073944
26,46,1599.376834515631
26,28,1789.4104541415409
26,44,987.5794251899365
26,33,1232.556931162689
26,29,2054.1110439866907
26,54,1342.3889755401108
26,17,4321.3260562783325
26,55,1691.5882153990847
26,36,1623.0397641675677
26,14,1355.0752063375362
26,37,2333.6320009657816
26,48,1278.1501435420935
26,32,2293.5807269909706
26,49,1500.8562805943207
26,41,1407.8258100823389
26,34,1638.1686897979237
26,35,1526.0529414331043
26,31,1463.674991638065
26,58,2525.6443895443
26,26,0.0
26,42,1018.4071683401838
26,21,2573.496809924553
26,19,3773.561116057804
26,20,2861.242663512553
26,23,2455.3120117758426
26,51,2870.8766626143356
26,62,3227.2384983203483
26,30,1954.502787087855
26,47,3116.3274684682215
26,22,2087.255997727907
26,38,2595.1922711673296
26,60,3143.487275740882
26,64,4204.199536187984
26,40,2890.5070679767346
26,50,3281.4665146089624
26,61,3223.339332015552
27,24,1030.8483475043315
27,57,1254.1689801389484
27,27,0.0
27,28,1310.6391915983083
27,66,1533.4530660632133
27,33,696.9496005622071
27,13,1746.2392009989737
27,15,895.7294349027267
27,55,1072.0893845204487
27,44,670.9874533141474
27,43,495.4729654522186
27,31,660.4996997552751
27,42,279.73685110254445
27,14,1097.2912708661322
27,16,889.166818664986
27,41,546.6936977947967
27,63,1487.530915782261
27,23,2370.203183626623
27,54,1263.9802991247193
27,48,437.8189999961482
27,62,2372.7110484762475
27,38,1736.9716531611464
27,46,1451.8726118476063
27,21,1697.2410208271967
27,60,2259.458164181211
27,56,824.8060516252865
27,58,1679.7712578056974
27,45,1121.507709706202
27,65,876.8627241553363
27,18,2058.771631816819
27,36,1773.1643218791085
27,32,1793.2927881502933
27,29,1191.1295876273898
27,22,1859.6086763179178
27,34,954.8607445848312
27,35,1054.2510281120808
27,49,820.0277849122122
27,64,3446.886427895858
27,39,1755.1603599543673
27,37,1524.177518782113
27,20,1985.6400597853453
27,30,1311.2360182329871
27,51,2313.261445702657
27,17,3479.79126780983
27,61,2344.438593820671
27,47,2391.369294185064
27,40,2220.2289510428136
27,50,2457.0845971910276
12,23,3448.7764038644113
12,22,3929.56787003142
28,24,2006.0232359472118
28,54,723.8087139673179
28,15,645.5426580927094
28,57,1332.7741318917117
28,55,339.93379404362554
28,44,804.3327837808187
28,45,926.0293452620162
28,56,1471.9231956974374
28,14,505.91395961073204
28,40,1165.5685015688305
28,28,0.0
28,34,2030.002523970289
28,33,621.4662977834677
28,16,1101.5302190384866
28,46,614.6273132057106
28,18,779.8374227139976
28,66,1418.724198766933
28,13,1381.6448850775362
