from,to,cost
26,0,0.0
26,22,798.9471011134663
26,59,583.658074525442
26,28,2216.965980684537
26,20,1749.361047449283
26,17,3052.8544460665225
26,23,2066.839130843431
26,26,0.0
26,52,1221.497040712785
26,25,3098.0840481236064
26,24,2544.244583293514
26,27,3027.806885374029
26,31,1216.8995370034122
26,18,2585.7394474539196
26,33,1389.3534001754963
26,46,3194.0179415630555
26,38,695.7888320374453
26,21,1376.8687384380735
26,34,2501.423099114368
26,62,1398.6401705716448
26,14,3843.6166423143713
26,57,3040.2596311095454
26,36,2680.392639285007
26,15,2952.3257976616587
26,58,3435.05102245886
26,16,2843.4162683887166
26,30,1072.1337550606925
26,47,3277.0153691054434
26,48,2596.8255778715275
26,67,3692.2343339761874
27,0,0.0
27,66,1423.4927746702556
27,58,887.3274416808125
27,46,1077.578239841864
27,25,219.00519556882188
27,19,2564.6567009300115
27,67,1154.0305712955515
27,28,884.7862483981269
27,57,356.65293402391677
27,64,1379.660631148101
27,40,1694.509189367381
27,14,1454.3230005548799
27,16,1158.9582251342247
27,17,768.6882705783805
27,44,1114.9565576073944
27,47,1599.376834515631
27,29,1789.4104541415409
27,45,987.5794251899365
27,34,1232.556931162689
27,30,2054.1110439866907
27,55,1342.3889755401108
27,18,4321.3260562783325
27,56,1691.5882153990847
27,37,1623.0397641675677
27,15,1355.0752063375362
27,38,2333.6320009657816
27,49,1278.1501435420935
27,33,2293.5807269909706
27,50,1500.8562805943207
27,42,1407.8258100823389
27,35,1638.1686897979237
27,36,1526.0529414331043
27,32,1463.674991638065
27,59,2525.6443895443
27,27,0.0
27,43,1018.4071683401838
27,22,2573.496809924553
27,20,3773.561116057804
27,21,2861.242663512553
27,24,2455.3120117758426
27,52,2870.8766626143356
27,63,3227.2384983203483
27,31,1954.502787087855
27,48,3116.3274684682215
27,23,2087.255997727907
27,39,2595.1922711673296
27,61,3143.487275740882
27,65,4204.199536187984
27,41,2890.5070679767346
27,51,3281.4665146089624
27,62,3223.339332015552
28,0,0.0
28,25,1030.8483475043315
28,58,1254.1689801389484
28,28,0.0
28,29,1310.6391915983083
28,67,1533.4530660632133
28,34,696.9496005622071
28,14,1746.2392009989737
28,16,895.7294349027267
28,56,1072.0893845204487
28,45,670.9874533141474
28,44,495.4729654522186
28,32,660.4996997552751
28,43,279.73685110254445
28,15,1097.2912708661322
28,17,889.166818664986
28,42,546.6936977947967
28,64,1487.530915782261
28,24,2370.203183626623
28,55,1263.9802991247193
28,49,437.8189999961482
28,63,2372.7110484762475
28,39,1736.9716531611464
28,47,1451.8726118476063
28,22,1697.2410208271967
28,61,2259.458164181211
28,57,824.8060516252865
28,59,1679.7712578056974
28,46,1121.507709706202
28,66,876.8627241553363
28,19,2058.771631816819
28,37,1773.1643218791085
28,33,1793.2927881502933
28,30,1191.1295876273898
28,23,1859.6086763179178
28,35,954.8607445848312
28,36,1054.2510281120808
28,50,820.0277849122122
28,65,3446.886427895858
28,40,1755.1603599543673
28,38,1524.177518782113
28,21,1985.6400597853453
