from,to,cost
59,26,583.658074525442
59,31,950.9520593496862
59,37,3194.4769412527335
59,52,1430.533273652069
59,21,1021.8836982712322
59,22,330.5097247819611
59,39,1122.3014795170625
59,61,991.5699887234848
59,67,3122.4022688047494
59,24,2500.422325083078
59,33,1348.1578411563714
59,38,290.4659990700312
59,23,1958.016231903675
59,27,2525.6443895443
59,28,1679.7712578056974
59,35,1023.3864431071447
59,51,1762.006126445291
59,59,0.0
59,63,1491.1339054755392
59,66,1320.1685618849854
59,18,2475.4802865881675
59,50,1705.1428744149764
59,58,2871.204511678203
59,34,1919.9403358610286
59,42,1329.1367091171855
59,62,1189.7747606713285
59,64,2932.8650408685753
59,25,2618.754750747002
59,32,1452.6998153215802
59,14,3265.6403762202553
59,16,2262.7919098400607
59,20,1677.0204544571727
59,30,499.65014907087897
59,46,2617.2752246274968
59,19,2558.814668026262
59,36,2097.4661575040855
59,47,2693.553880650442
59,43,1703.8731136906515
59,17,2488.1349207731696
26,23,2066.839130843431
26,26,0.0
26,25,3098.0840481236064
26,24,2544.244583296512
26,52,1221.4970407064504
26,27,3027.806885374029
26,46,3194.017941569399
26,38,695.7888320380673
26,18,2585.7394474539196
26,20,1749.3610474475038
26,31,1216.8995370034122
26,22,798.9471011252284
26,33,1389.3534001754963
26,21,1376.8687384378438
26,34,2501.423099114368
26,62,1398.6401705774317
26,15,2952.3257976616587
26,58,3435.05102245886
26,16,2843.416268393986
26,47,3277.0153691107676
26,48,2596.8255778793505
26,30,1072.1337550606925
26,67,3692.2343339761874
31,34,1862.0012964405075
31,30,834.4318680828941
31,22,1218.3260119092963
31,23,1033.8392157199185
31,40,3037.249748962466
31,66,535.5542386015999
31,16,2153.149105003981
31,38,660.8030329873648
31,18,3397.737474915878
31,24,1598.363318174511
31,33,567.1252693120284
31,15,2326.2570127953095
31,67,2839.3897385089954
31,27,1954.502787087855
31,46,2426.396425163654
31,61,1923.7817827653237
31,31,0.0
31,35,357.16477205266716
31,25,1978.948558221306
31,47,2686.0227856589436
31,29,2354.398697033039
31,44,1679.549535758511
31,14,3057.3926274542055
31,58,2554.9356571884746
31,56,2025.8207773610936
31,17,2199.089324334191
31,57,2059.40389097656
31,28,1311.2360182329871
31,45,1949.4244224618956
31,32,1500.9081470988297
31,64,2787.9535515005987
31,49,1361.1908447745973
31,42,1300.935517550222
31,36,2162.8520252957633
31,52,1008.0330585274238
31,43,1487.8549178720323
37,14,290.50023773643466
37,25,1813.7633935395497
37,27,1623.0397641675677
37,16,941.3448379957275
37,19,1628.52933144232
37,29,1184.9413354814737
37,34,1277.3570499692603
37,37,0.0
37,40,176.4086721694964
37,46,653.4666664738503
37,47,570.3142003731598
37,57,1283.7410261140149
37,67,550.8098323149205
37,17,937.7362191275462
37,32,1741.7782434325918
37,36,1140.7681353924906
37,15,829.8710232256287
37,28,1773.1643218791085
37,55,564.5368589704395
37,58,744.846377614019
37,66,2646.2301282521285
37,43,1588.3595550283628
37,44,1419.3890865497178
37,42,1881.364300031147
37,48,2545.1637034691366
37,50,1503.5920831150424
37,41,2224.1315326179133
37,64,285.6806624563724
37,56,1428.4320392745663
37,23,3564.145634950794
37,39,2630.2305840022514
37,20,3769.896098127104
37,45,1124.7262703391434
37,49,1771.0149551844568
37,62,3318.394342935389
37,24,4010.428296563675
37,30,2709.588488593718
37,35,2715.5474211103137
37,52,4079.6383720852896
52,22,1760.6305584257648
52,33,585.2976497647659
52,67,3830.8480025813597
52,58,3543.2793067951125
52,27,2870.8766626081933
52,57,3024.4857733773856
52,24,1451.548984872379
52,25,2852.6917991885684
52,16,3160.711841444005
52,38,1231.8988262603468
52,64,3795.0026197272423
52,63,2904.3881405726065
52,56,2992.723559494635
52,30,1639.3294148021562
52,29,3328.554456437328
52,20,2963.6201693935323
52,34,2864.599547172091
52,23,1132.708872469885
52,28,2313.2614456951856
52,35,1364.1654037943963
52,52,0.0
52,14,4058.3421649740126
52,62,2562.913201007686
52,46,3432.240060812655
52,36,3153.3652727310073
52,42,2287.3119756923097
52,50,2769.0412380654757
52,3,5073.2521658996475
